0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11090,9,Vinaigre de cidre,"Vinegar, cider",0.083276662,0.84106152,5.369539e-08,0.20901058,0.0030878271,4.6006724e-08,1.2347313e-08,5.3994475e-10,0.0037488017,9.3731654e-05,0.0013408053,0.010773256,17.5808014,20.639216,0.68965719,13.571326,3.1731597e-06
11025,47,"Cannelle, poudre","Cinnamon, powder",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11075,47,"Cardamome, poudre","Cardamom, powder",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11064,47,"Carvi, graine","Caraway, seed",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11052,47,Clou de girofle,Cloves,1.0607275,9.3933191,2.3921305e-07,0.87724176,0.034648795,9.7022505e-07,9.6874767e-08,2.7368027e-09,0.075028732,0.0014110438,0.067321449,0.4095696,55.14227,687.76056,4.3711262,78.733125,5.8659826e-05
11026,47,"Coriandre, graine","Coriander, seed",0.19953102,2.1330567,1.7236337e-07,0.31002658,0.008740796,1.0930441e-07,2.3459187e-08,7.1304198e-10,0.010389736,0.00024997511,0.0054601596,0.026601697,37.815765,19.235007,1.4652215,32.871482,6.6133579e-06
11042,47,"Cumin, graine","Cumin, seed",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11089,47,"Curcuma, poudre","Turmeric, powder",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11005,47,"Curry, poudre","Curry, powder",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11066,47,"Fenouil, graine","Fennel, seed",0.19953102,2.1330567,1.7236337e-07,0.31002658,0.008740796,1.0930441e-07,2.3459187e-08,7.1304198e-10,0.010389736,0.00024997511,0.0054601596,0.026601697,37.815765,19.235007,1.4652215,32.871482,6.6133579e-06
11077,47,"Fenugrec, graine","Fenugreek, seed",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11006,47,"Gingembre, poudre","Ginger, powder",0.20494245,2.0230951,1.7283104e-07,0.306001,0.0095008068,1.276825e-07,3.7067484e-08,8.2261564e-10,0.014186689,0.00023625786,0.0045092837,0.042171893,22.2306367,21.43145,2.1833938,31.707455,5.0865101e-06
11074,47,"Gingembre, racine crue","Ginger, raw",0.080941493,0.49449856,8.689061e-09,0.078049387,0.0040193715,5.2937139e-08,2.6158206e-08,4.120404e-10,0.0079999521,7.2442266e-05,0.0028180131,0.028974425,6.206076599999999,12.343447,1.7936129,7.3477173,2.3195116e-06
11053,47,"Laurier, feuille","Bay, leaves",0.20493088,1.8669403,1.6999849e-07,0.30414145,0.0069855987,1.2251718e-07,1.9099935e-08,6.3148999e-10,0.011723133,0.00025312588,0.0046832214,0.036271144,20.0315992,36.839048,4.394623,29.469853,5.1113046e-06
11048,47,Noix de muscade,Nutmeg,0.21362139,2.2321289,1.7386549e-07,0.3093239,0.011001754,1.1197197e-07,2.3781902e-08,7.5079805e-10,0.013462786,0.00025086654,0.0062140734,0.034972597,38.40429,19.265397,1.4664204,34.073234,6.7002405e-06
11049,47,Paprika,Paprika,1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11061,47,"Pavot, graine","Poppy, seed",0.5160790000000001,2.8987757,1.808351e-07,0.31994679,0.012587529,4.4661705e-07,1.8414136e-07,2.4451258e-09,0.057966098,0.0016018688,0.030542564,0.23866709,36.177814,291.98845,4.3598287,36.193443,9.9521751e-06
11019,47,"Poivre blanc, poudre","White pepper, powder",1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11088,47,Poivre de Cayenne ou piment de Cayenne,Cayenne pepper,1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11015,47,"Poivre noir, poudre","Black pepper, powder",1.0620529,9.4022405,2.3933268e-07,0.88579975,0.034681432,9.7118028e-07,9.6974394e-08,2.739791e-09,0.075102339,0.0014125116,0.067388556,0.40997658,55.186181,688.44415,4.3754742,78.95994,5.8724427e-05
11039,47,Safran,Saffron,1.0616519,9.4010633,2.3928509e-07,0.87782053,0.034677557,9.711122e-07,9.6959068e-08,2.7390638e-09,0.075097312,0.0014122792,0.067387065,0.40996557,55.180539,688.43888,4.3750955,78.784369,5.8714876e-05
11065,47,"Vanille, extrait alcoolique","Vanilla, alcoholic extract",0.5936689599999999,4.3766706,2.8196386e-07,0.55873918,0.016039401,1.9729366e-07,2.9665305e-08,1.0736274e-09,0.018021831,0.0018770451,0.10309163,0.039720177,39.0064517,997.39629,0.68044427,55.519933,6.245938e-06
11098,47,"Vanille, extrait aqueux","Vanilla, aqueous extract",0.5936689599999999,4.3766706,2.8196386e-07,0.55873918,0.016039401,1.9729366e-07,2.9665305e-08,1.0736274e-09,0.018021831,0.0018770451,0.10309163,0.039720177,39.0064517,997.39629,0.68044427,55.519933,6.245938e-06
11023,19,"Ail séché, poudre","Garlic, powder, dried",0.15794221,1.7705899,1.7182706e-07,0.33341212,0.0063953089,9.3774388e-08,1.6622827e-08,6.476846e-10,0.007633146,0.00020874335,0.0033360971,0.017658745,19.7642629,24.012389,0.83018199,29.424276,4.9615504e-06
11000,19,"Ail, cru","Garlic, fresh",0.045718443,0.38312407,9.7853266e-09,0.13190997,0.0012269393,2.4368826e-08,7.974527e-09,3.1515173e-10,0.0018588484,6.9981263e-05,0.0021495002,0.0057933324,5.049211,18.700715,0.5530433,6.3811748,2.7552555e-06
