"UUID du flux";"Nom du flux";Commentaire;Type;"Catégorie 1";"Catégorie 2";"Catégorie 3";"Quantité de référence";Unité
"Flow UUID";"Flow name";Comment;Type;"Category 1";"Category 2";"Category 3";"Reference quantity";Unit
4d07718b-39ba-639a-4c7d-2d03967a5252;;;"Product flow";;;;1;kg
f483ad99-4563-09f1-434e-3b277f703b78;;;"Product flow";;;;1;kg
eb28e003-97ee-74bd-0b97-9344fc1b01de;;;"Product flow";;;;1;kg
df9738c7-6ca9-b5c0-f21c-01f447e88b58;;;"Product flow";;;;1;kg
95e0482e-68ae-02b0-21d0-1bc5cdefe41d;;;"Product flow";;;;1;kg
ea5c2eb5-0f1f-491f-90ef-30a31c02cd0f;Naphthalene;;"Product flow";;;;1;kg
30f31f75-ab80-469a-b3e0-6408f38e1a55;"Quicklime CaO EU 2007";;"Product flow";;;;1;kg
24e51bc3-7272-4f3e-8d94-c6009a116c89;"Waste (deposited)";;"Product flow";;;;1;kg
126cb32f-7046-40fb-ac52-421b388dfa46;"Hydrated Lime EU 2007";;"Product flow";;;;1;kg
5363d2e7-9724-b1f8-3d34-1b980ba08ac6;;;"Product flow";;;;1;kg
f86c2530-6e5f-fe59-a4d7-019bc1749e4f;;;"Product flow";;;;1;kg
b0ae2576-8feb-3cef-1d2b-555c9e50336f;;;"Product flow";;;;1;kg
6ad7367a-395b-3143-5cd1-775127be1914;;;"Product flow";;;;1;kg
82ecc4c0-25d0-005a-4e52-3540fb993285;;;"Product flow";;;;1;kg
e1d02e6a-6331-ebc6-6ec0-9001244b0a26;;;"Product flow";;;;1;kg
91bfae50-a4d0-47f2-ce14-b295f2ba678e;;;"Product flow";;;;1;kg
12014faf-2832-4812-7be5-43ceb8760b63;;;"Product flow";;;;1;kg
4e695b67-3ac3-c040-1967-9ad483455753;;;"Product flow";;;;1;kg
1088dc1b-63c7-f800-296a-e6c80802ed97;;;"Product flow";;;;1;kg
8b2f0266-d85e-b261-2212-484ea07536f7;;;"Product flow";;;;1;kg
f9272aa9-e227-26bd-655e-48aa8adbbd70;;;"Product flow";;;;1;kg
fa3d8ae5-c1b4-7c13-c534-b1681fbbb54d;;;"Product flow";;;;1;kg
3a8b4412-367c-ae9a-38b0-e1f599694b63;;;"Product flow";;;;1;kg
716c99be-7577-9994-4829-fe73ec669b5e;;;"Product flow";;;;1;kg
457936b3-1bd1-c0fd-f6c4-66dab0221706;;;"Product flow";;;;1;kg
53612893-f286-f165-6e6b-fe6f6273ac98;;;"Product flow";;;;1;kg
d9ede8c0-376f-aaa1-62dd-dfb83fcfe329;;;"Product flow";;;;1;kg
e9ace898-a9fa-5c9b-7232-9dd7bdff9e3d;;;"Product flow";;;;1;kg
4a992ad9-228f-c233-1b5a-3fbdc84fa02a;;;"Product flow";;;;1;kg
8c89c0a2-84f9-f720-02ec-c5c1ee8a2ea1;;;"Product flow";;;;1;kg
80bc255e-fabe-aa74-8670-4099776114a8;;;"Product flow";;;;1;kg
32905818-b3b5-3e3c-c502-89d04661a587;;;"Product flow";;;;1;kg
e8b44fc1-cd29-3e5e-5ee8-35e38b1ee3fd;;;"Product flow";;;;1;kg
b4ecb792-7d30-04a9-a328-d7c7084f3754;;;"Product flow";;;;1;kg
6a1992e8-8b26-00ba-750e-28ce3061e8a5;;;"Product flow";;;;1;kg
703f49bc-cc40-807e-e95c-19f0681692ef;;;"Product flow";;;;1;kg
